raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
"METAR KEDU 250540Z AUTO 18006KT 10SM 20/10 A2986 RMK AO1",KEDU,2026-07-25T05:40:00.000Z,38.5301,-121.7883,20,10,180,6,,10+,29.86,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,20
"SPECI LTAR 250534Z VRB03KT 9999 SCT022 19/13 Q1007",LTAR,2026-07-25T05:34:00.000Z,39.7980,36.8940,19,13,0,3,,6+,29.73,,,,,,,,,,,SCT,2200,,,,,,,VFR,,,,,,,,,,,,SPECI,1601
"SPECI KUZA 250538Z AUTO 00000KT 2 1/2SM BR FEW003 OVC009 22/22 A3011 RMK AO2 T02220217",KUZA,2026-07-25T05:38:00.000Z,34.9836,-81.0562,22.2,21.7,0,0,,2.5,30.11,,,TRUE,TRUE,,,,,,BR,FEW,300,OVC,900,,,,,IFR,,,,,,,,,,,,SPECI,198
"SPECI CYYH 250530Z 04003KT 15SM FEW170 FEW180 12/05 A2984 RMK AS1AC1 AC TR SLP109",CYYH,2026-07-25T05:30:00.000Z,69.5430,-93.5680,12,5,40,3,,15,29.84,1010.9,,,,,,,,,,FEW,17000,FEW,18000,,,,,VFR,,,,,,,,,,,,SPECI,19
"METAR K20U 250535Z AUTO 19004KT 18/10 A2986 RMK AO2 TSNO",K20U,2026-07-25T05:35:00.000Z,46.9251,-103.9852,18,10,190,4,,,29.86,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,null,,,,,,,,,,,,METAR,839
"METAR KHHV 250540Z AUTO 00000KT 10SM SCT025 29/23 A3005 RMK A01",KHHV,2026-07-25T05:40:00.000Z,26.9392,-94.6886,29,23,0,0,,10+,30.05,,,TRUE,TRUE,,,,,,,SCT,2500,,,,,,,VFR,,,,,,,,,,,,METAR,25
"METAR KGOP 250535Z AUTO VRB06G13KT 10SM CLR 29/24 A3005 RMK AO2",KGOP,2026-07-25T05:35:00.000Z,31.4208,-97.7951,29,24,0,6,13,10+,30.05,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,272
"METAR K8A1 250536Z AUTO VRB02KT 10SM BKN006 25/25 A3009 RMK AO2",K8A1,2026-07-25T05:36:00.000Z,34.3996,-86.2682,25,25,0,2,,10+,30.09,,,TRUE,TRUE,,,,,,,BKN,600,,,,,,,IFR,,,,,,,,,,,,METAR,615
"SPECI KTRI 250536Z 36003KT 6SM -RA BR FEW020 BKN039 OVC055 21/20 A3011 RMK AO2 RAB16 P0004 T02060200",KTRI,2026-07-25T05:36:00.000Z,36.4797,-82.3989,20.6,20,360,3,,6,30.11,,,,TRUE,,,,,,-RA BR,FEW,2000,BKN,3900,OVC,5500,,,VFR,,,,,,0.04,,,,,,SPECI,456
"METAR GCGM 250530Z AUTO 00000KT CAVOK 23/17 Q1017 RMK R09/VRB07G21KT ARP/VRB05G16KT",GCGM,2026-07-25T05:30:00.000Z,28.0320,-17.2110,23,17,0,0,,6+,30.03,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,217
"METAR CWHO 250500Z AUTO 00025KT 15/10 RMK AO1 SLP105 T01530096 51007",CWHO,2026-07-25T05:00:00.000Z,55.4480,-60.2300,15.3,9.6,0,25,,,,1010.5,,TRUE,TRUE,,,,,,,,,,,,,,,null,0.07,,,,,,,,,,,METAR,16
"SPECI UUBW 250534Z 34002MPS 4800 -RA FEW046 17/15 Q1009 R30/190055 NOSIG RMK QFE747",UUBW,2026-07-25T05:34:00.000Z,55.5530,38.1500,17,15,340,4,,2.98,29.79,,,,,,TRUE,,,,-RA,FEW,4600,,,,,,,IFR,,,,,,,,,,,,SPECI,111
"METAR K40U 250535Z AUTO 10SM CLR 25/09 A3027 RMK AO2 T02470088",K40U,2026-07-25T05:35:00.000Z,40.9860,-109.6780,24.7,8.8,,,,10+,30.27,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1882
